correction,error,editop,correct_char,idxw,error_char,idxe,e|w
НАРОДНОЕ,АРОДНОЕ,delete,Н,0,-,0,А|НА
Августа,Авгуота,replace,с,4,о,4,о|с
Августъ,Августь,replace,ъ,6,ь,6,ь|ъ
Агаѳангела,Агаоангела,replace,ѳ,3,о,3,о|ѳ
Аѳанасьевской,Аеанасьевской,replace,ѳ,1,е,1,е|ѳ
Аксаковъ,Акеаковъ,replace,с,2,е,2,е|с
Алазани,Алазапи,replace,н,5,п,5,п|н
Алекcея,Алекеея,replace,c,4,е,4,е|c
Алексѣй,АлексЪй,replace,ѣ,5,Ъ,5,Ъ|ѣ
Александринскаго,Александрннскаго,replace,и,9,н,9,н|и
Александровича,Александровича2,insert,-,14,2,14,а2|а
Алексѣя,Алексая,replace,ѣ,5,а,5,а|ѣ
Амфилохія,Амфилохгя,replace,і,7,г,7,г|і
Анатоліе,Анатолге,replace,і,6,г,6,г|і
Андреевичъ,Андреевпчъ,replace,и,7,п,7,п|и
Апостолы,Аностолы,replace,п,1,н,1,н|п
Арсен,Арсеи,replace,н,4,и,4,и|н
Друга,Аруга,replace,Д,0,А,0,А|Д
Архіерейскаго,Архгерейскаго,replace,і,3,г,3,г|і
Архимандритовъ,АрхимандритовЪ,replace,ъ,13,Ъ,13,Ъ|ъ
ЯЗЫК,Я8ЫК,replace,З,1,8,1,8|З
Японскіе,Японск1е,replace,і,6,1,6,1|і
занимает,аанимает,replace,з,0,а,0,а|з
заново,ааново,replace,з,0,а,0,а|з
находятся,ааходятся,replace,н,0,а,0,а|н
абіе,аб1е,replace,і,2,1,2,1|і
август,авгусг,replace,т,5,г,5,г|т
своими,авоими,replace,с,0,а,0,а|с
австро,авсгро,replace,т,3,г,3,г|т
агроном,агропом,replace,н,4,п,4,п|н
здоровыхъ,адоровыхъ,replace,з,0,а,0,а|з
некоторые,аекоторые,replace,н,0,а,0,а|н
первымъ,аервымъ,replace,п,0,а,0,а|п
песни,аесни,replace,п,0,а,0,а|п
каждой,аждой,delete,к,0,-,0,а|ка
август,аигуст,replace,в,1,и,1,и|в
академическія,академическ1я,replace,і,11,1,11,1|і
академія,академхя,replace,і,6,х,6,х|і
активному,активиому,replace,н,5,и,5,и|н
амидной,амндной,replace,и,2,н,2,н|и
аналогии,аналогин,replace,и,7,н,7,н|и
анатомич,анатомнч,replace,и,6,н,6,н|и
значительное,аначительное,replace,з,0,а,0,а|з
августе,ангусте,replace,в,1,н,1,н|в
